,D,Delta,tl,K,tm,Vr,Ifull,IPSPint,Vreset,Ie_sig,Ifull_nA,Icrit_nA,fcrit,I0crit,A0crit,Icrit,fcrit_sim,fnet_full_theory,Ifull_nA_sim,fnet_full_sim,Ifull_sim,error_net_nmae,error_unit_nmae,Imin_theory,Imax_theory,applicability,performance
0,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,299.80882595049997,171.78962042816383,1.0299218750000008,258.6301078280935,7.922475961538467,0.3394369643806258,0.13372501465684766,1.8070913461538467,5.297030947492044,0.5275490095046109,0.34847937515635985
1,0.01,1.2,1.2,3.0,10.0,0.0,5.442330685265411,0.0156,-65.0,0.01838477631085024,0.7075029890845035,0.16015625,304.7000000000001,0.1099,12.924782729344303,1.2319711538461535,292.5165070711175,140.96014568653922,1.0601562500000008,207.9968954657614,8.155048076923084,0.3008063997835865,0.15726801765109774,1.8319711538461543,5.442330685265411,0.5214963767605587,0.36462692916703027
2,0.01,1.2,1.2,5.0,10.0,0.0,5.610090146368848,0.026,-65.0,0.01838477631085024,0.7293117190279504,0.1513671875,299.6,0.1037,7.366145451828864,1.1643629807692308,286.87393593863993,108.51895923438884,1.0913671875000008,155.92155809178743,8.395132211538469,0.25713657167874365,0.19120173251584194,1.7643629807692314,5.610090146368848,0.5318558846042017,0.3950962858099118
3,0.01,1.2,1.2,10.0,10.0,0.0,5.817028625528224,0.052000000000000005,-65.0,0.01838477631085024,0.7562137213186693,0.1435546875,294.8,0.0978,3.5205320238767768,1.1042668269230769,279.9859386296487,76.65864285614124,0.9135546875000007,89.81933587129589,7.027343750000005,0.1871608261242402,0.18423090412428805,1.6042668269230773,5.817028625528224,0.7112454984658033,0.5781282033957965
4,0.01,1.2,1.2,50.0,10.0,0.0,6.2343179145058745,0.26,-65.0,0.01838477631085024,0.8104613288857637,0.1298828125,287.1,0.0883,0.6451184211336388,0.9990985576923076,263.2501670733327,39.51499037434032,0.7498828125000006,38.84286574722182,5.768329326923081,0.14197695816728223,0.08561641032714919,1.299098557692308,6.2343179145058745,0.9370967741935483,0.8040506246851757
5,0.0225,1.2,1.2,2.0,10.0,0.0,7.206366693691077,0.0104,-65.0,0.02757716446627536,0.93682767017984,0.20703125,316.7000000000001,0.12230000000000002,32.55628487514172,1.5925480769230769,305.64238410410945,231.2479777577834,0.9470312500000007,238.4966721291126,7.2848557692307745,0.22372263066974726,0.10212867062444826,2.492548076923078,7.206366693691077,0.8281032705132964,0.6428378283678403
6,0.0225,1.2,1.2,3.0,10.0,0.0,7.445546421238066,0.0156,-65.0,0.02757716446627536,0.9679210347609488,0.1875,309.1,0.1081,20.319926951888014,1.4423076923076923,297.2605332483758,187.10534199194808,0.9775000000000007,193.4214903967405,7.5192307692307745,0.1944155296146618,0.1148246256204323,2.4423076923076934,7.445546421238066,0.8233177655201872,0.6632520060954201
7,0.0225,1.2,1.2,5.0,10.0,0.0,7.717291879014026,0.026,-65.0,0.02757716446627536,1.0032479442718234,0.171875,303.00000000000006,0.0967,11.541829060303169,1.3221153846153846,291.26381612721684,140.869394500669,1.0018750000000007,144.87118939347255,7.7067307692307745,0.16776402105495145,0.13371956969155116,2.2221153846153854,7.717291879014026,0.8590361445783132,0.7149207867323127
8,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,282.8146713747797,96.06144431302656,1.0362500000000008,98.4003037210639,7.971153846153853,0.13328186083598317,0.13251444018063271,2.101923076923078,8.04778045399884,0.8670454545454545,0.7514840229342554
9,0.0225,1.2,1.2,50.0,10.0,0.0,8.703711999580085,0.26,-65.0,0.02757716446627536,1.131482559945411,0.134765625,288.8,0.0705,0.9863325736927104,1.0366586538461535,268.5166002602671,45.84458764242016,1.1347656250000009,47.00291058696525,8.728966346153852,0.12752873958377697,0.07234091089993469,1.5366586538461542,8.703711999580085,0.9317169349454102,0.812896248582962
