,D,Delta,tl,K,tm,Vr,Ifull,IPSPint,Vreset,Ie_sig,Ifull_nA,Icrit_nA,fcrit,I0crit,A0crit,Icrit,level,config,freq_net,freq_unit_mean,freq_unit_std,saturation,CV,ampl_mean,qfac,v_std_mean,v_std_std,v_av_mumin,v_av_mumin_sd,gauss_mu_min_sim,gauss_mu_min_sd_sim,gauss_sig_min_sim,Iext,gauss_mu_min,gauss_mu_max,gauss_f_net,gauss_f_unit,gauss_sat,gauss_zeta,gauss_t_on,gauss_t_off,gauss_mu_reset
0,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.169921875,0.0,299.80882595049997,20.374081649612734,1.1355950997714297,0.0679569108248221,0.5287411704783268,26.543621561172575,0.25835791616211107,2.9201464432903244,0.08274229554416337,-56.05012229050107,0.07285194391558728,0.6884521314999176,5.005603995685814,5.226315343010673,1.3070913461538463,0.8059646971131789,0.8488193723557578,477.5639854301082,31.180905308820662,0.06529157612406267,0.037417086370584794,0.0,0.8939602451373518,0.7835277962316951
1,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.209821271013382,0.0,285.4090653743005,32.423336854347696,0.9808394551958807,0.11360303784263483,0.38237322779791477,78.70712484459474,131559.25040587474,3.294973871507399,0.17021195027561328,-57.257975477369634,0.13327880751078364,0.5955403478946436,5.0102522159623675,5.2523239041950935,1.6140097770260153,0.753968087113918,0.8835255744822379,353.01602505051386,43.08958248558178,0.12206126472421752,0.05170749898269812,0.0,1.6327325929663048,0.7614643097580204
2,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.24972066702676396,0.0,270.27393567286936,44.37131426552831,0.8807294237735531,0.16417163628842807,0.2917322857013962,120.87003393117766,3263.499164932766,3.482440993071297,0.2123478400130177,-58.48724239450126,0.14471410382775132,0.5009813542691339,5.011131854140596,5.268024209019307,1.9209282078981844,0.630927112313596,0.9182317766087181,268.8531487939798,55.5905851217939,0.2067693287996138,0.09730113064320771,0.5503167205387355,2.5195026522315076,0.7114624478091043
3,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.289620063040146,0.0,260.10237437718206,56.09589644621503,0.8063963080870645,0.21566852890342603,0.23801595476041368,174.19390992826044,8201.711125953423,3.575422457593975,0.2390317658507435,-59.66320704662795,0.15328286641277222,0.41052253487477286,5.011790989724059,5.276170338306749,2.2278466387703535,0.430635597972968,0.9529379787351983,215.81421631234537,68.83523603164716,0.3189559854204541,0.1943746838562329,1.6237672311731264,3.433615046715513,0.6339819933147441
4,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.32951945905352803,0.0,254.6465127935616,67.64060367029374,0.7409987820717966,0.2656254858087495,0.2049225923656972,210.95534423442598,54379.31862439993,3.621045599911244,0.25872209891189185,-60.73903144420613,0.1699366375116955,0.3277668119841441,5.013072049039361,5.280251191179492,2.534765069642523,0.16289546433586433,0.9876441808616785,182.7208912554068,82.37652508578792,0.4508325485926085,0.3103634939316309,2.567620612892016,4.272827946106077,0.5368116322690699
5,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.36941885506691,0.0,253.0,78.95700493393262,0.7054341196109147,0.31208302345427913,0.1819296015723483,258.73909362770854,2133.086279652937,3.6466190554754907,0.26611363749934985,-61.66639934694041,0.15177370410815805,0.2564308194661224,5.011674900316011,5.282128321572647,2.8416835005146925,-0.144623377199943,1.0223503829881588,162.45173430728482,95.59119763098667,0.5884282986488256,0.4324978462591161,3.3244526376654404,4.955674510119138,0.4339220843393332
6,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.4093182510802919,0.0,255.0,90.00898675070421,0.7235249282579723,0.35297641863021256,0.1735600617570168,301.06731798491387,1813.5919907868938,3.66183999506165,0.26863963582694517,-62.36408280281836,0.1414309778314795,0.20276286132166468,5.010879305987037,5.282593846378625,3.1486019313868607,-0.45261701162015844,1.0570565851146387,150.74562012398502,107.91170649525036,0.7158530138818979,0.5457690260042681,3.8575516200208515,5.433691905459817,0.3412035712327408
7,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.4492176470936739,0.0,254.0,101.09296155623252,0.7228377927903128,0.39800378565445876,0.1788064786431234,323.74449522507194,3277.3361671457183,3.6671042408394507,0.27377559846902705,-63.195372252681565,0.15460546292006344,0.13881751902449496,5.011892727916928,5.282672742435995,3.45552036225903,-0.7221176865549868,1.091762787241119,145.03400357281396,119.01390835716802,0.8205931397144214,0.6380808382945656,4.161397227453836,5.694934810911101,0.2711696475266977
8,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.4891170431070559,0.0,244.751778466023,112.65232856559754,0.701689087714143,0.46027174663099,0.15803559655687408,398.32591911514254,172721.77292256916,3.627944229545588,0.3000384483525485,-64.55069377724045,0.17334397933127202,0.03456201713534968,5.0133341522562525,5.279729273863158,3.762438793131199,-0.926138660860776,1.126468989367599,143.70333780929028,128.90315039844947,0.897008742897244,0.7037050262032596,4.2591763198033075,5.758780604853501,0.229460246470355
9,0.01,1.2,1.2,2.0,10.0,0.0,5.297030947492044,0.0104,-65.0,0.01838477631085024,0.6886140231739658,0.169921875,310.50000000000006,0.1171,20.382767708796976,1.3070913461538465,0.5290164391204379,0.0,248.40198856804318,123.45412986635047,0.5634071992419045,0.4969933235157393,0.11977870418332924,461.47381782062234,1856921.448968274,3.5992719758072704,0.3032582556794896,-65.03610228613644,0.12534439014840654,-0.0027770989335723383,5.009641876165262,5.276068286680874,4.069357224003369,-1.0553487968817319,1.1611751914940793,145.6568746671198,137.8630713051101,0.946492032183023,0.7435660882829337,4.1935117014571555,5.66545006739553,0.2146831593110563
